period,Availability,Performance,Quality,OEE
07:30 PM,100,3.1,100,3.1
08:00 PM,100,100,96,96
08:30 PM,100,19.3,20.6,4
09:00 PM,99.1,100,96.4,95.5
09:30 PM,99.6,98.2,100,97.8
10:00 PM,100,100,100,100
10:30 PM,100,62.5,100,62.5
11:00 PM,100,77.9,100,77.9
11:30 PM,97,100,100,97
12:00 AM,100,0,,
12:30 AM,99.9,26.5,100,26.5
01:00 AM,100,100,100,100
01:30 AM,100,26.8,100,26.8
02:00 AM,94.9,34.7,57,18.7
02:30 AM,96.5,32.8,100,31.6
03:00 AM,99.2,15.5,100,15.4
03:30 AM,100,7.7,100,7.7
04:00 AM,100,0,,
04:30 AM,100,0,,
05:00 AM,95.6,5,100,4.8
05:30 AM,100,0,,
