period,Availability,Performance,Quality,OEE
11:00,83.7,21.7,99.4,18.1
12:00,63.2,75.2,100,47.6
13:00,72.7,7.4,100,5.4
14:00,75.9,100,98.3,74.6
15:00,89.7,84,98.5,74.2
16:00,83.7,57.5,96.3,46.4
17:00,98.7,78.5,100,77.4
18:00,99.3,100,100,99.3
19:00,100,,,
20:00,100,63.7,0,0
21:00,99.3,100,97,96.4
22:00,100,100,100,100
23:00,98.4,100,100,98.4
00:00,99.9,66.5,100,66.5
01:00,100,100,100,100
02:00,99.3,22.3,0,0
03:00,99.6,0,,
04:00,100,,,
05:00,100,,,
07:00,99.8,0,,
08:00,100,,0,
09:00,99.5,69.4,99.8,69
10:00,98.5,0,,
11:00,100,,,
12:00,,,,
13:00,,,,
14:00,,,,
15:00,,,,
16:00,,,,
17:00,,,,
18:00,,,,
